id	sev	disposition	why	source	symptom_at_head	fix_size	fix_location	locked_path
S2-C081	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C082	HIGH	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	SMALL	SUBMISSION_DOSSIER.md:107-115	
S2-C083	HIGH	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	SMALL	SUBMISSION_DOSSIER.md:539-542	
S2-C084	HIGH	PARKED	CAUSE DERIVED (wave-a:A2 - replay surface (HIGH + MEDIUM) and REPLAY_TEST_EVENTS.md), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:A2 - replay surface (HIGH + MEDIUM) and REPLAY_TEST_EVENTS.md	YES	SMALL	REPLAY_TEST_EVENTS.md:66-78 (plus frontend/src/lib/mock/roundProvider.ts:57-60 and :77, frontend/src/App.svelte:654-659, and scripts/qa/doc_currency_baseline.json)	
S2-C085	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C086	HIGH	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	SMALL	docs/records/V7_RECONCILIATION.md:20	
S2-C087	HIGH	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as ONE_LINE, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	ONE_LINE	docs/records/reviews/REVIEW_TRACKER.md:279	
S2-C088	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:PK) refuted it	wave-a:PK	NO	NO_FIX_NEEDED	NONE	
S2-C089	HIGH	PARKED	CAUSE DERIVED (wave-a:PK), fix specified as ONE_LINE, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:PK	YES	ONE_LINE	reports/SESSION_REPORT.md:7349-7350	
S2-C090	HIGH	PARKED	CAUSE DERIVED (wave-a:PK), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:PK	YES	SMALL	reports/qa/stream_test/shards/SHARD_INDEX.md:9-12	
S2-C092	MEDIUM	PARKED	CAUSE DERIVED (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)), fix specified as ONE_LINE, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	YES	ONE_LINE	scripts/kit_build.mjs:328	
S2-C093	MEDIUM	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:A2 - replay surface (HIGH + MEDIUM) and REPLAY_TEST_EVENTS.md) refuted it	wave-a:A2 - replay surface (HIGH + MEDIUM) and REPLAY_TEST_EVENTS.md	NO	ONE_LINE	frontend/scripts/replay_contract_gate.mjs:434 (a sixth seed, immediately after the seed-5 block)	
S2-C095	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C097	MEDIUM	PARKED	owner decision required; re-derivation (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.) returned PARK	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	PARK	SUBMISSION_DOSSIER.md:39 (with :28, :63, :131-132, :247, :356, :490-492)	
S2-C098	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as ONE_LINE, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	PARTIAL	ONE_LINE		
S2-C100	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	PARTIAL	SMALL		
S2-C101	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C103	MEDIUM	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	SMALL	docs/records/upload-kit/00_READ_ME_FIRST.md:18	
S2-C104	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C105	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C106	MEDIUM	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	SMALL	SUBMISSION_DOSSIER.md:34	
S2-C107	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C108	MEDIUM	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	SMALL	reports/qa/math_bet_level_compliance_2026-07-25.md:3-6 and WRS_MASTER_DOCUMENT.md:53	
S2-C109	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	PARTIAL	SMALL		
S2-C110	MEDIUM	PARKED	CAUSE DERIVED (wave-a:SHARD_H: the bet ladder (betLadder.ts) and the rows filed at the LOCKED rgsService.ts), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_H: the bet ladder (betLadder.ts) and the rows filed at the LOCKED rgsService.ts	YES	SMALL	frontend/src/lib/stores/betLadder.ts:105-112	
S2-C111	MEDIUM	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:PK) refuted it	wave-a:PK	NO	NO_FIX_NEEDED	NONE	
S2-C112	MEDIUM	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)) refuted it	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	NO	NO_FIX_NEEDED	NONE	
S2-C113	MEDIUM	PARKED	CAUSE DERIVED (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	PARTIAL	SMALL	scripts/qa/delivery_set_gate.mjs:286-294	
S2-C114	MEDIUM	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)) refuted it	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	NO	NO_FIX_NEEDED	NONE	
S2-C115	MEDIUM	PARKED	SANCTION REQUEST: the fix requires EDITING the locked path frontend/src/lib/services/rgsService.ts	wave-a:SHARD_H: the bet ladder (betLadder.ts) and the rows filed at the LOCKED rgsService.ts	YES	ONE_LINE	frontend/src/lib/services/rgsService.ts:525	frontend/src/lib/services/rgsService.ts
S2-C116	MEDIUM	PARKED	CAUSE DERIVED (wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived	PARTIAL	SMALL	A new frontend/scripts/round_logic_currency_gate.mjs, plus one step in .github/workflows/checks.yml near the existing currency steps at :546-581	
S2-C117	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C118	MEDIUM	PARKED	CAUSE DERIVED (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	YES	SMALL	frontend/scripts/dist_hygiene_gate.mjs, beside the existing index.html check at :83; already wired as "dist hygiene, no documentation ships" at .github/workflows/checks.yml:708-710	
S2-C120	MEDIUM	PARKED	owner decision required; re-derivation (wave-a:FG) returned PARK	wave-a:FG	YES	PARK	NONE	
S2-C121	MEDIUM	PARKED	owner decision required; re-derivation (wave-a:FG) returned PARK	wave-a:FG	YES	PARK	NONE for the requirement. If the stale citation is to be corrected in the record, it is reports/qa/session2_audit/LEDGER.md's S2-C063-adjacent S2-C121 row and reports/qa/session2_audit/DISPOSITIONS.md, where '.github/workflows/checks.yml:215-217' should read ':329-331'	
S2-C122	MEDIUM	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	SMALL	scripts/validate_math.py:55-58	
S2-C123	MEDIUM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	PARTIAL	SMALL		
S2-C216	LOW	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C217	LOW	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	SMALL	docs/stake-engine-live/2026-07-26/published-tile-geometry.md:48	
S2-C218	LOW	PARKED	CAUSE DERIVED (wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived	YES	SMALL	frontend/src/lib/utils/currency.ts:387 and frontend/src/lib/utils/currency.ts:496	
