cluster	sev	family	disposition	file	path	finding
S2-C079	HIGH	CENSUS	UPHELD	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:156-157 against reports/qa/dist_hygiene_2026-07-26.json:25-27`	Dossier:156: `measured on the artefact that ships: the JOB 5 kit V3 build, from a fresh clone at commit` / `\`7dd83e6a\`, clean tree, 2026-07-26.` JSON: `"commit": "a1ff78bbe5fcc85ee0d32278a1e63c880c46f5ed",` / `"cleanTree": false,` The dos
S2-C080	HIGH	CENSUS	UPHELD	reports/qa/dist_hygiene_2026-07-26.json	`reports/qa/dist_hygiene_2026-07-26.json (3 committed versions) against frontend/scripts/dist_hygiene_gate.mjs:90,239`	`git show 856fd17:...json` -> `"files": 107,` / `"bytes": 15514619,`; `git show 7dd83e6:...json` -> `"files": 108,` / `"bytes": 15515001,` / `"commit": "856fd171afcf48bfc3793e95061980d778eefa25"`; HEAD -> `"files": 108,` / `"bytes": 1551514
S2-C081	HIGH	CURRENCY	UPHELD, CAUSE UNSOUND	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:308`	The live docs do publish one, and the repository already held a capture of it. `docs/stake-engine-live/rgs-communication.md` header: "resolved_url: https://stake-engine.com/docs/approval-guidelines/rgs-communication", "fetched: 2026-07-04",
S2-C082	HIGH	CURRENCY	UPHELD	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:108`	"; `grep -ci` over its 48 lines returns 0 for `cruise`, 0 for `antelite`, 0 for `super`. Its line 12 reads "Last run 2026-07-04 - **ALL CHECKS PASS**", four days BEFORE FeatureMath v2 shipped the other three modes. Its max-win-odds row (lin
S2-C083	HIGH	CURRENCY	UPHELD	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:530`	Both limits ARE on a published approval-guidelines page, and were mirrored into this repository three weeks before the announcement. `docs/stake-engine-live/math-verification.md:18`: "The calculated Return to Player (RTP) must be within 90.
S2-C084	HIGH	CURRENCY	UPHELD, ENUMERATION INCOMPLETE	REPLAY_TEST_EVENTS.md	`REPLAY_TEST_EVENTS.md:72`	uniq -c` returns `12 "mode": "antelite"`, `12 "mode": "cruise"`, `7 "mode": "super"` (plus 27 base, 31 bonus). Categories present include `cruise_loss`, `cruise_win_small/mid/large`, `antelite_loss`, `antelite_win_small/mid/large`, `super_w
S2-C085	HIGH	CURRENCY	UPHELD, CAUSE UNSOUND	REPLAY_TEST_EVENTS.md	`REPLAY_TEST_EVENTS.md:66-71`	Same reality as D04-16: 31 curated rounds exist across those three modes. A tester following this table would skip local reproduction for three of the five shipped modes, including the whole `super_*` set that `frontend/src/lib/services/rou
S2-C086	HIGH	CURRENCY	UPHELD	docs/records/V7_RECONCILIATION.md	`docs/records/V7_RECONCILIATION.md:20`	Two commits dated 2026-07-29, both AFTER this document's own commit (`7d1c6b1`, 2026-07-28), touch `frontend/src/`: "f7a853e 2026-07-29 fix(TR-117): the win banner multiplier gets the glyph and the locale it never had" and "9602728 2026-07-
S2-C087	HIGH	CURRENCY	UPHELD	docs/records/reviews/REVIEW_TRACKER.md	`docs/records/reviews/REVIEW_TRACKER.md:279`	Nineteen lines later in the same file, `docs/records/reviews/REVIEW_TRACKER.md:298`, TR-117 reads "**TR-104 is HALF FIXED and this row carries the other half**" and its own status is "**FIXED 2026-07-29**, both halves". `reports/qa/stream_t
S2-C088	HIGH	CURRENCY	UPHELD	reports/qa/stream_test/CLUSTERS.md	`reports/qa/stream_test/CLUSTERS.md:224`	`, the table accounts for 25 of the 26 clusters the same file declares at `:31` (`Twenty six.`). **C-12 appears in no disposition row**, though the file analyses it at `:198` and `:208-216` and the session report schedules it at `SESSION_RE
S2-C089	HIGH	CURRENCY	UPHELD	reports/SESSION_REPORT.md	`reports/SESSION_REPORT.md:7349-7350`	`CLUSTERS.md:195-202` names marshalling faults for exactly six clusters, and the six are C-03, C-10, C-11, **C-12**, C-23, C-26. Only FIVE of them are among the reopened seven. C-12 is not reopened (and is dispositioned nowhere, per D08-02)
S2-C090	HIGH	CURRENCY	UPHELD	reports/qa/stream_test/shards/SHARD_INDEX.md	`reports/qa/stream_test/shards/SHARD_INDEX.md:9-11`	Verification has since run and is recorded two files away. `CLUSTERS.md:220` heads `## FINAL DISPOSITION of the STREAM tier` and dispositions 26 clusters; `SESSION_REPORT.md:7264` heads `## JOB 3: 52 adversarial seats over 26 clusters`; `KN
S2-C092	MEDIUM	COMPLIANCE	UPHELD	design-system/brand/delivery/README.md	`design-system/brand/delivery/FutureSpinner-FG.png exists (directory listing) and is mapped to the rule at design-system/brand/delivery/README.md:10`	`for (const f of ['FutureSpinner-BG.jpg', 'FutureSpinner-FG.png', 'WeRollSpinners-Logo.png']) {` then `cpSync(join(clone, 'design-system/brand/delivery', f), join(KIT, '03_branding', f))` `design-system/brand/delivery/FutureSpinner-FG.png`
S2-C093	MEDIUM	COMPLIANCE	UPHELD	frontend/src/lib/components/ReplayMode.svelte	`frontend/src/lib/components/ReplayMode.svelte:288-289, with the phase set at frontend/src/lib/stores/replayStore.ts:21`	Nothing asserts the loading state. `replayRounds.test.ts` never reads `phase`; `max_win_hold_gate.mjs:187-193` is the only CI-wired assertion against this component and it is about the terminal splash order; `replay_blocker_proof.mjs` waits
S2-C095	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	design-system/DESIGN_SYSTEM.md	`design-system/DESIGN_SYSTEM.md:57-58`	Opened. The only character on the base surface is an adult-proportioned helmeted racer figure in an armoured suit standing beside the hover car; no child, no child-like proportions, no toy or juvenile motif in the frame. `- Scene group (sce
S2-C097	MEDIUM	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:481 and :52-68`	NONE (read every `- name:` step line in `.github/workflows/checks.yml`; searched the 20 test file names, `docs/records/reviews/REVIEW_TRACKER.md`, `docs/QUALITY_CHARTER.md`; opened `reports/archive/superseded/INDEX.md:16`) `Blurb B is recor
S2-C098	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	scripts/kit_build.mjs	`scripts/kit_build.mjs:3 and :90-96`	`// Builds the single-use upload kit from a FRESH CLONE, and refuses to build one`; `refuse.push('HEAD is not on the remote. The kit is built from a fresh clone, so an ' + 'unpushed commit cannot be in it and the kit would silently be older
S2-C100	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:21-22`	"- **No Stake branding:** verified. No Stake trademark or themes in any shipped asset or text." / "- **No underage appeal:** verified. No child or child-like characters." `COMPLIANCE_WATCH.md:21-22`
S2-C101	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:32-35`	the platform)`, `written notice`, `defect notification`, `acceptance testing` over every `*.md` outside `docs/stake-engine-live/` and the register returns ZERO hits. `docs/records/WAYS_OF_WORKING.md` names four roles and three ceremonies, a
S2-C103	MEDIUM	COMPLIANCE	UPHELD	docs/records/upload-kit/00_READ_ME_FIRST.md	`docs/records/upload-kit/00_READ_ME_FIRST.md:18-21 (and SUBMISSION_DOSSIER.md:220-222, SUBMISSION_DOSSIER.md:249)`	"**3. \"Publish\" does not mean publish.** The portal has a green **Publish Game** button. On this platform that means *make my uploads runnable so I can test them*. It does not put anything in front of players." and, at dossier 220-222, "*
S2-C104	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	scripts/kit_build.mjs	`scripts/kit_build.mjs:14-18 (and docs/records/upload-kit/00_READ_ME_FIRST.md:1117-1121, PART 9i step 1)`	"// Convention (o) is the structural half: \"The staging bundle is always built // from a fresh clone, never from a working machine, so the uploaded artefact is // reproducible by definition.\" Whatever is on a working machine and not in th
S2-C105	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	OWNER_CHECKLIST.md	`OWNER_CHECKLIST.md:52-54`	Nothing defends or records the access grant: grep for `github.com/` in `WRS_MASTER_DOCUMENT.md`, `README.md` and `COMPLIANCE_WATCH.md` returns no repository URL, and no gate reads repository visibility. `checks.yml:93-94` ("push: / branches
S2-C106	MEDIUM	COMPLIANCE	UPHELD	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:34 (and :22-37, the DOSSIER INVENTORY)`	Five-mode re-validated: maths independently VERIFIED + CI-gated (scripts/validate_math.py, reports/archive/superseded/MATH_VALIDATION.md); RGS integration verified aligned (docs/RGS_CONTRACT_REFERENCE.md); replay event IDs derived for all f
S2-C107	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	WRS_MASTER_DOCUMENT.md	`WRS_MASTER_DOCUMENT.md:37 (section 2, PLATFORM REGISTER)`	"- Post-approval lockdown: only minor cosmetic updates after approval; NO math changes, NO new modes, NO gameplay changes. Everything ships final." no row, gate or test found for a Carrot defect notice or its remediation route
S2-C108	MEDIUM	COMPLIANCE	UPHELD	WRS_MASTER_DOCUMENT.md	`WRS_MASTER_DOCUMENT.md:36 and :53`	"Two-computer verification. Fable pre-computed every figure independently from the shipped lookup tables. This document is the second computer: figures below were produced by `scripts/qa/bet_level_compliance.py`, written for this pass witho
S2-C109	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	WRS_MASTER_DOCUMENT.md	`WRS_MASTER_DOCUMENT.md:24`	Configured on the platform. **ERC-20, USDT.** The address is **held offline only and is never recorded in this repository**, per the privacy rule above. Two facts from the platform's own wallet page that are worth carrying: payouts run at t
S2-C110	MEDIUM	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	frontend/src/lib/stores/betLadder.ts	`frontend/src/lib/stores/betLadder.ts:105-112`	`* ON the active ladder. That refusal is what makes the platform's \`minStep\`` / `* hold without this module ever reading \`minStep\`: every value the panel can` / `* offer came out of \`activeBetLevels\`, which is the authenticate respons
S2-C111	MEDIUM	COMPLIANCE	UPHELD	frontend/scripts/tile_delivery_build.mjs	`frontend/scripts/tile_delivery_build.mjs:104 and :133-136`	the only asset steps in `checks.yml` are `- name: asset references, seeded-violation self-test` / `run: node scripts/asset_reference_gate.mjs --self-test` and `- name: asset references resolve in dist` / `run: node scripts/asset_reference_g
S2-C112	MEDIUM	COMPLIANCE	UPHELD	design-system/brand/tile/GENERATION_NOTE_hero.md	`design-system/brand/delivery/FutureSpinner-FG.png (header read via file), corroborated at design-system/brand/tile/GENERATION_NOTE_hero.md:56 and :59`	`[PASS] fringe gate (hero): 0 offending pixels` (a captured line about the MASTER at build time; nothing re-reads the delivered file, so a re-save that flattened alpha, or a JPG renamed to `.png`, goes red nowhere) `design-system/brand/deli
S2-C113	MEDIUM	COMPLIANCE	UPHELD	design-system/brand/provider_mark/PROVENANCE_f.md	`design-system/brand/provider_mark/PROVENANCE_f.md:9 and :35, delivered as design-system/brand/delivery/WeRollSpinners-Logo.png per README.md:29`	Nothing in `.github/workflows/checks.yml`, none of the 20 test files, and no `reports/` artefact asserts that the delivered logo is the STUDIO mark rather than the game logo. `frontend/public/assets/ui/logo_future_spinner.png` (the game log
S2-C114	MEDIUM	COMPLIANCE	UPHELD	design-system/brand/provider_mark/PROVENANCE_f.md	`design-system/brand/delivery/WeRollSpinners-Logo.png (header read via file), measured at design-system/brand/provider_mark/PROVENANCE_f.md:19`	The alpha figure is a one-off ingest measurement committed beside the asset, not a gate. `frontend/scripts/provider_logo_derivation.mjs:299` writes `WeRollSpinners-Logo.png` and its only non-zero exit is `console.error('DELIVERY COPY FAILED
S2-C115	MEDIUM	COMPLIANCE	UPHELD	frontend/src/lib/services/rgsService.ts	`frontend/src/lib/services/rgsService.ts:511-535 and frontend/src/App.svelte:188-195`	'desktop' = rawDevice === 'mobile' ? 'mobile' : 'desktop'` / `const lang = p.get('lang') ?? 'en'`. App: `const raw = new URLSearchParams(window.location.search).get('lang')` / `locale.set(resolveLaunchLocale(raw, socialAtBoot, locales))`. `
S2-C116	MEDIUM	COMPLIANCE	UPHELD	frontend/src/lib/utils/currency.ts	`frontend/src/lib/utils/currency.ts:172-178, 282-288 and frontend/src/lib/services/roundInterpreter.ts (whole file)`	`formatBalance` and `formatBalanceCompact` are the only currency-aware entry points and both start from micros: `const amount = micros / CURRENCY_SCALE` and `const amount = truncateToSignificant(micros / CURRENCY_SCALE, COMPACT_SIGNIFICANT_
S2-C117	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	frontend/src/lib/stores/betLadder.ts	`frontend/src/lib/stores/betLadder.ts:105-112, 123-129`	`That refusal is what makes the platform's \`minStep\`` / `hold without this module ever reading \`minStep\`: every value the panel can` / `offer came out of \`activeBetLevels\`, which is the authenticate response's own` / `\`betLevels\``;
S2-C118	MEDIUM	COMPLIANCE	UPHELD	frontend/vite.config.ts	`frontend/vite.config.ts:299-301`	`asset_reference_gate.mjs:26-30` states its scope as existence only: `// 1. Every path derived by \`themeStore.ts\`'s \`themeAssets\` for the SHIPPING` / `// theme, resolved by substituting that theme's \`assetBase\`.` / `// 2. Eve
S2-C120	MEDIUM	COMPLIANCE	UPHELD	frontend/src/lib/config/fsModes.ts	`frontend/src/lib/config/fsModes.ts:68-119 (the five-mode package) and CLAUDE.md assets rule with design-system/brand/GENERATION_NOTE_background.md named as the provenance shape`	nothing in the repository measures or attests creativity or originality. `docs/QUALITY_CHARTER.md` section 2.2 is the only checkable rendering of a star band and its seven properties are all FINISH properties (tile geometry, publisher type,
S2-C121	MEDIUM	COMPLIANCE	UPHELD	frontend/src/lib/config/fsModes.ts	`frontend/src/lib/config/fsModes.ts:68-119, frontend/src/lib/components/BonusInstrumentColumn.svelte and FreeSpinsPresentation.svelte exist as the feature surface`	no gate, test or committed capture measures depth or session length. The nearest wired gate, `.github/workflows/checks.yml:215-217`, proves cost parity between `fsModes.ts` and the shipped `index.json`, which is a different claim; treating
S2-C122	MEDIUM	COMPLIANCE	UPHELD	BOOKS_MANIFEST.md	`BOOKS_MANIFEST.md:41-49`	Nothing checks either cap mechanically. `scripts/validate_math.py:55` holds only `MIN_ROWS = 100_000 # 100k-1M simulations`, a floor and not the 10,000,000 ceiling, and no byte-size check exists in it at all. `scripts/kit_build
S2-C123	MEDIUM	COMPLIANCE	UPHELD, CAUSE UNSOUND	reports/qa/math_selfaudit_2026-07-14.md	`reports/qa/math_selfaudit_2026-07-14.md:117-131`	`check(r["unique_payouts"] >= MIN_UNIQUE_PAYOUTS, f"{name}: {r['unique_payouts']} unique payouts (< {MIN_UNIQUE_PAYOUTS})")` with `MIN_UNIQUE_PAYOUTS = 10` at line 56. This asserts a floor of ten, not the five figures the self-audit reports
S2-C216	LOW	COMPLIANCE	UPHELD, CAUSE UNSOUND	WRS_MASTER_DOCUMENT.md	`WRS_MASTER_DOCUMENT.md:27`	Accepted at account creation. Record date if known. Re-read before submission; post-approval lockdown and removal conditions bind us. \ in-repo proof is impossible by design, see `WRS_MASTER_DOCUMENT.md:6-10`, quoted in notes
S2-C217	LOW	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	docs/stake-engine-live/2026-07-26/published-tile-geometry.md	`docs/stake-engine-live/2026-07-26/published-tile-geometry.md:12 and :48, cited as the source of the only geometry figure at design-system/brand/delivery/README.md:43-45`	"**The platform publishes no pixel dimensions for the game tile.**"; "**408x546 is the platform's published tile geometry**, at 93.1% of the decoded sample."; README: "That is the platform's own published tile geometry, measured across a li
S2-C218	LOW	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	frontend/src/lib/utils/currency.ts	`frontend/src/lib/utils/currency.ts:221-224 (the fallback clause), against frontend/src/lib/utils/currency.ts:185-194 (the main clause, which IS satisfied)`	fallback, code BEFORE the amount: ` } catch {` / ` // Unknown or unsupported currency code - plain fallback` / ` return \`${code} ${amount.toFixed(decimals)}\`` / ` }`. The platform's own helper at `docs/stake-engine-live/2026-07-29
